         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            1000            -504              98        0.137092      -0.0506872         1.58139        -5.26769
            1100            -540             242        0.153028      -0.0577219          1.5223          -6.104
            1200            -432             182        0.169248      -0.0648051         1.46324        -6.95099
            1300            -532             252        0.184928      -0.0698828         1.43275        -7.49744
            1400            -508             166        0.202824      -0.0777663         1.47986        -8.54651
            1500            -452              92        0.218604      -0.0815047         1.47953        -8.86014
            1600            -452             -80        0.234944      -0.0845637         1.46972        -9.11993
            1700            -464             -42        0.251773      -0.0884669         1.43503        -9.46198
            1800            -472            -142        0.268872      -0.0929994         1.40181        -9.91094
            1900            -520              82        0.286685      -0.0972549         1.37143        -10.3337
            2000            -508             144        0.304704       -0.100294         1.36177        -10.6082
            2100            -484             190        0.324416       -0.107774         1.36265        -11.5534
            2200            -416              28        0.343168       -0.112688          1.3479        -12.0495
            2300            -504              54        0.362634       -0.115762         1.33949        -12.3441
            2400            -424             -76        0.382175       -0.119588          1.3461        -12.7197
            2500            -504             132        0.403155       -0.123436         1.32166        -13.1082
            2600            -532             242        0.425432         -0.1315         1.30668        -14.1172
            2700            -596             338         0.44993        -0.14286         1.35716        -15.9317
            2800            -620             306        0.474132       -0.153413          1.3798        -17.5526
            2900            -568             310        0.499862       -0.165156         1.41545        -19.4776
            3000            -416             -86        0.525284       -0.175511         1.42462        -21.1497
            3100            -500            -220        0.550112       -0.183021         1.39969        -22.1869
            3200            -456             -74        0.576281       -0.193236         1.37463        -23.7731
            3300            -516             -40        0.601834       -0.199359         1.36613         -24.583
            3400            -412             -62        0.628455       -0.204103         1.34565        -25.2205
            3500            -520            -124        0.655486       -0.211573         1.34092         -26.258
            3600            -508            -286        0.685133       -0.220955         1.34227        -27.7639
            3700            -528            -200        0.715756       -0.232619         1.33552        -29.7091
            3800            -524            -228        0.747468       -0.244015         1.32532        -31.5974
            3900            -416              -2         0.77942       -0.255004         1.31565        -33.4684
            4000            -508            -226        0.814222       -0.269277         1.32775        -36.2014
            4100            -528            -230        0.848127       -0.281433          1.3249        -38.3448
            4200            -484            -170        0.883105       -0.293495         1.31656        -40.5311
            4300            -396               2        0.918637       -0.302065         1.30864        -42.0125
            4400            -472            -120        0.956618       -0.313796         1.30639        -44.2724
            4500            -392            -134        0.995264       -0.326715         1.30556        -46.6669
            4600            -576            -290         1.03594       -0.340144          1.2937        -49.2643
            4700            -576            -316         1.08141       -0.359792         1.32077        -53.6906
            4800            -384            -128         1.12922       -0.380959         1.36683        -58.7176
            4900            -444              -2         1.17419       -0.395717         1.36199        -61.9467
            5000            -548            -278         1.22115       -0.410021         1.35782        -65.0979
            5100            -508             -68         1.27011       -0.424509         1.34786        -68.3671
            5200            -512             244          1.3215       -0.439417         1.34528        -71.7893
            5300            -476             228         1.37591       -0.458906         1.35006        -76.5682
            5400            -596             336         1.43431         -0.4826         1.35611        -82.6755
            5500            -476             -30         1.49379       -0.504108         1.35894        -88.2949
            5600            -504            -146         1.55605       -0.525881          1.3499        -94.0412
            5700            -468            -148         1.61879       -0.545265         1.34786        -99.0343
            5800            -500            -174         1.68692       -0.570363         1.33869         -105.96
            5900            -432            -136         1.75849         -0.5974         1.33345        -113.708
            6000            -492            -194         1.83381       -0.627351         1.32073        -122.711
            6100            -480            -202         1.91398       -0.658051         1.31883        -132.213
            6200            -436             -82         1.99535       -0.686817         1.30944        -141.119
            6300            -448            -216         2.08479       -0.721728          1.3247        -152.852
            6400            -524            -212         2.17671       -0.754379         1.31393        -163.779
            6500            -544            -268         2.27789        -0.79542         1.32888        -178.617
            6600            -504            -262         2.38336        -0.83655         1.32547        -193.806
            6700            -504            -222         2.49272       -0.878645         1.32478        -209.816
            6800            -512            -180         2.60971       -0.920886         1.32367        -226.299
            6900            -492            -176         2.73446       -0.968318         1.32507        -245.684
            7000            -440            -170         2.86589        -1.01491         1.31897        -265.286
            7100            -440             -56         3.00428        -1.06272         1.31281         -285.97
            7200            -552            -272         3.15494        -1.11772         1.31026        -311.101
            7300            -428               0         3.31426        -1.16579         1.30941        -333.656
            7400            -528             246         3.48648        -1.22141         1.30651        -360.588
            7500            -600             232         3.67436        -1.28684          1.3063        -393.784
            7600            -484             158         3.87873        -1.35766         1.30649        -431.207
            7700            -616             330         4.10362         -1.4425         1.30391         -478.83
            7800            -544             258         4.35097        -1.53855         1.31316        -536.044
            7900            -576             298         4.62248        -1.64473         1.32043         -602.96
            8000            -632             348         4.92203        -1.76222         1.33738        -681.518
            8100            -536             312         5.25165        -1.88971         1.34346        -771.654
            8200            -548             306         5.62236         -2.0362         1.36493         -882.51
            8300            -500             244         6.03417        -2.19801         1.37123           -1013
            8400            -600             310         6.49994        -2.38223         1.38937        -1172.53
            8500            -604             302         7.02154        -2.58351         1.39112        -1358.82
            8600            -440              68         7.60685         -2.7893         1.38846        -1561.99
            8700            -468               4         8.28187        -3.02028         1.38363        -1806.74
            8800            -428             146         9.06885        -3.28865         1.37938        -2113.62
            8900            -508            -260         9.99863         -3.6166         1.37524        -2521.23
            9000            -572            -302          11.122        -4.03332          1.3695        -3091.92
            9100            -400             -86         12.4947        -4.53586         1.36357        -3856.83
            9200            -572            -278         14.2195        -5.16886           1.364        -4940.73
            9300            -484            -236         16.4396        -6.00039         1.36083        -6568.59
            9400            -492            -174         19.3983        -7.10222         1.36293        -9080.32
            9500            -456             -58         23.5036        -8.57333         1.36315        -13061.1
            9600            -404              60          29.656        -10.7518         1.37053        -20281.7
            9700            -476             -20          39.924        -14.3709         1.36831        -35774.3
            9800            -596             316         60.5161        -21.8156         1.37312        -81377.5
            9900            -520             266         122.317        -44.2546         1.36943         -330593
           10000            -488             278            -inf             inf         1.38014            -nan
           10100            -632             314        -124.853         45.4125         1.38432         -339411
           10200            -532             310        -63.1232         23.0795         1.39995        -86577.5
           10300            -456             164        -42.4937         15.5619         1.39852        -38878.9
           10400            -464              82        -32.1955         11.8195         1.39869        -22155.4
           10500            -488             222        -25.9896         9.52228         1.39471        -14205.3
           10600            -436             138        -21.8485          7.9939         1.39823        -9890.32
           10700            -444             118        -18.8965         6.91167         1.39665        -7305.83
           10800            -440              46        -16.6707         6.06651         1.40162        -5559.06
           10900            -600             290        -14.9514         5.44395         1.40109        -4424.15
           11000            -516             240        -13.5951         4.96812         1.41302        -3641.78
