         Sample#               E               M           <eps>             <m>             C_V        Suscept.
            1000            -512            -112        0.137069       -0.050615         1.58728        -5.25424
            1100            -536            -238        0.153009      -0.0576517         1.52991        -6.09002
            1200            -424            -176        0.169207      -0.0647159         1.46937        -6.93139
            1300            -520            -252        0.184861      -0.0698213         1.44095        -7.48119
            1400            -512            -162        0.202776      -0.0776855         1.49615        -8.52639
            1500            -456             -88        0.218589      -0.0814235         1.49767        -8.83936
            1600            -444              74        0.234942      -0.0845315         1.48553        -9.10331
            1700            -460              44        0.251819      -0.0884723         1.45018        -9.44881
            1800            -468             144        0.268957      -0.0929774         1.41719        -9.89657
            1900            -508             -90        0.286717      -0.0972296         1.38654        -10.3189
            2000            -528            -152        0.304809       -0.100273         1.37312        -10.5931
            2100            -452            -192         0.32449       -0.107748         1.37514        -11.5373
            2200            -408             -34        0.343218       -0.112681         1.36096        -12.0354
            2300            -492             -48        0.362635       -0.115751         1.34779        -12.3292
            2400            -448              82        0.382159       -0.119547          1.3525           -12.7
            2500            -492            -130        0.403179       -0.123391         1.32872        -13.0879
            2600            -552            -236        0.425401       -0.131436         1.31021        -14.0929
            2700            -604            -324        0.449845       -0.142778         1.35732        -15.9021
            2800            -628            -298        0.474126       -0.153327         1.37931        -17.5203
            2900            -584            -318        0.499825       -0.165073         1.41601        -19.4466
            3000            -432             102        0.525194       -0.175391         1.42032         -21.106
            3100            -492             220        0.550016       -0.182863         1.39437         -22.138
            3200            -480              94        0.576115       -0.193032         1.37141        -23.7139
            3300            -504              34        0.601781       -0.199113         1.36089        -24.5184
            3400            -452              80        0.628388       -0.203836         1.34153         -25.154
            3500            -496             112        0.655386        -0.21131         1.33894        -26.1922
            3600            -528             294        0.685011       -0.220695         1.34029        -27.6988
            3700            -528             206        0.715651       -0.232479         1.33357        -29.6685
            3800            -540             222        0.747294        -0.24397         1.32451        -31.5753
            3900            -412               6         0.77918        -0.25489         1.31223        -33.4299
            4000            -476             216        0.813923       -0.269161         1.32039        -36.1584
            4100            -528             238        0.847812       -0.281277         1.31634        -38.2927
            4200            -480             186        0.882766       -0.293309         1.30597         -40.468
            4300            -384              -2         0.91826       -0.301829         1.29908        -41.9402
            4400            -488             114        0.956177       -0.313608         1.29642        -44.2088
            4500            -412             134        0.994885       -0.326522         1.29337        -46.5989
            4600            -600             298          1.0357       -0.340009         1.28266        -49.2085
            4700            -584             320         1.08124       -0.359651         1.31274        -53.6331
            4800            -396             106         1.12913       -0.380825         1.35985        -58.6648
