         Sample#               E               M           <eps>             <m>             C_V        Suscept.
               0              -8               4              -0              -0            -nan              -0
             100              -8               4            0.02      -0.0100505          0.1584      -0.0405051
             200              -8               4       0.0406122      -0.0203571          0.0796      -0.0829842
             300              -8               4       0.0606186      -0.0304124          0.3136       -0.125143
             400              -8               4       0.0820833      -0.0411458          0.2364       -0.171147
             500              -8               4           0.104      -0.0521053        0.189696        -0.21907
             600              -8               4        0.126383      -0.0632979          0.1584       -0.269005
             700              -8               4        0.149247      -0.0747312        0.135967       -0.321049
             800              -8               4        0.172609       -0.086413          0.1191       -0.375304
             900              -8              -4        0.196264      -0.0982967        0.123477       -0.431506
            1000              -8              -4        0.220667         -0.1105        0.111216       -0.490508
            1100              -8              -4        0.245618       -0.122978         0.10117       -0.552067
            1200              -8              -4        0.271136       -0.135739       0.0927889       -0.616314
            1300              -8              -4        0.297241       -0.148793       0.0856899       -0.683385
            1400              -8              -4        0.323953       -0.162151          0.0796       -0.753428
            1500              -8              -4        0.351294       -0.175824       0.0743182       -0.826597
            1600              -8              -4        0.379286       -0.189821       0.0696938       -0.903057
            1700              -8              -4        0.407952       -0.204157       0.0656111       -0.982985
            1800              -8              -4        0.437317       -0.218841       0.0619802        -1.06657
            1900              -8              -4        0.467407       -0.233889       0.0587302          -1.154
            2000              -8              -4         0.49825       -0.249312        0.055804         -1.2455
            2100              -8              -4        0.529873       -0.265127       0.0531556         -1.3413
            2200              -8              -4        0.562308       -0.281346       0.0507471        -1.44162
            2300              -8              -4        0.595584       -0.297987       0.0485474        -1.54674
            2400              -8              -4        0.629737       -0.315066       0.0465306        -1.65693
            2500              -8              -4          0.6648         -0.3326       0.0446746        -1.77249
            2600              -8              -4        0.700811       -0.350608       0.0429609        -1.89373
            2700              -8              -4        0.737808        -0.36911       0.0413739        -2.02099
            2800              -8              -4        0.775833       -0.388125          0.0399        -2.15465
            2900              -8              -4         0.81493       -0.407676       0.0385275        -2.29508
            3000              -8              -4        0.855143       -0.427786       0.0372462        -2.44272
            3100              -8              -4        0.896522       -0.448478       0.0360475        -2.59801
            3200              -8              -4        0.939118       -0.469779       0.0349234        -2.76145
            3300              -8               4        0.982687       -0.491642       0.0386938        -2.93282
            3400              -8               4         1.02788       -0.514242       0.0375585        -3.11414
            3500              -8               4         1.07446       -0.537538       0.0364878        -3.30533
            3600              -8               4          1.1225       -0.561562       0.0354765        -3.50703
            3700              -8               4         1.17206       -0.586349       0.0345198        -3.71998
            3800              -8               4         1.22323       -0.611935       0.0336133        -3.94496
            3900              -8               4         1.27607       -0.638361       0.0327532         -4.1828
            4000              -8               4         1.33067       -0.665667        0.031936        -4.43445
            4100              -8               4         1.38712       -0.693898       0.0311586        -4.70089
            4200              -8               4         1.44552       -0.723103       0.0304181        -4.98324
            4300              -8               4         1.50596       -0.753333       0.0297121        -5.28268
            4400              -8               4         1.56857       -0.784643        0.029038        -5.60051
            4500              -8               4         1.63345       -0.817091       0.0283939        -5.93819
            4600              -8               4         1.70074       -0.850741       0.0277777        -6.29726
            4700              -8               4         1.77057        -0.88566       0.0271877        -6.67946
            4800              -8               4         1.84231       -0.921731       0.0332639        -7.08412
            4900              -8               4         1.91765       -0.959412       0.0325864        -7.51835
            5000              -8               4           1.996         -0.9986        0.031936        -7.98201
            5100              -8               4         2.07755        -1.03939        0.031311        -8.47763
            5200              -8               4          2.1625        -1.08187       0.0307101        -9.00806
            5300              -8               4         2.25106        -1.12617       0.0301317        -9.57644
            5400              -8               4         2.34348        -1.17239       0.0295748        -10.1863
            5500              -8               4            2.44        -1.22067        0.029038        -10.8414
            5600              -8               4         2.54091        -1.27114       0.0285204        -11.5463
            5700              -8               4         2.64651        -1.32395       0.0280209        -12.3058
            5800              -8               4         2.75714        -1.37929       0.0275386        -13.1254
            5900              -8               4         2.87317        -1.43732       0.0270727        -14.0113
            6000              -8               4           2.995        -1.49825       0.0266222        -14.9705
            6100              -8               4         3.12308        -1.56231       0.0261865        -16.0109
            6200              -8               4         3.25789        -1.62974       0.0257648        -17.1415
            6300              -8               4         3.39946        -1.70068       0.0278877          -18.37
            6400              -8               4         3.54944        -1.77569       0.0274527        -19.7132
            6500              -8               4           3.708          -1.855       0.0270311        -21.1821
            6600              -8               4         3.87588        -1.93897       0.0266222        -22.7923
            6700              -8               4         4.05394        -2.02803       0.0262255        -24.5616
            6800              -8               4         4.24313        -2.12266       0.0258405        -26.5111
            6900              -8               4         4.44452        -2.22339       0.0254666        -28.6651
            7000              -8               4         4.65933        -2.33083       0.0251033        -31.0521
            7100              -8               4         4.88897        -2.44569       0.0247503        -33.7059
            7200              -8               4           5.135        -2.56875       0.0244071        -36.6664
            7300              -8               4         5.39926        -2.70093       0.0240733        -39.9811
            7400              -8               4         5.68385        -2.84327       0.0237484        -43.7071
            7500              -8               4          5.9912          -2.997       0.0234322        -47.9132
            7600              -8               4         6.32417        -3.16354       0.0231244        -52.6832
            7700              -8               4         6.68609        -3.34457       0.0228245        -58.1197
            7800              -8               4         7.08091        -3.54205       0.0225323        -64.3493
            7900              -8               4         7.51333        -3.75833       0.0222475        -71.5303
            8000              -8               4           7.989        -3.99625       0.0219698        -79.8616
            8100              -8               4         8.51474        -4.25921       0.0216989        -89.5967
            8200              -8               4         9.09889        -4.55139       0.0214346        -101.062
            8300              -8               4         9.75176        -4.87794       0.0211767        -114.685
            8400              -8               4         10.4863        -5.24531       0.0209249         -131.03
            8500              -8               4         11.3187        -5.66167       0.0206791         -150.86
            8600              -8               4           12.27         -6.1375       0.0204389        -175.221
            8700              -8               4         13.3677        -6.68654       0.0202043         -205.58
            8800              -8               4         14.6483        -7.32708        0.019975        -244.047
            8900              -8               4         16.1618        -8.08409       0.0197508         -293.74
            9000              -8               4          17.978         -8.9925       0.0195317        -359.423
            9100              -8               4         20.1978        -10.1028       0.0193173        -448.668
            9200              -8               4         22.9725        -11.4906       0.0191076        -574.092
            9300              -8               4           26.54         -13.275       0.0189023        -757.993
            9400              -8               4         31.2867        -15.6508       0.0237943        -1042.38
            9500              -8               4          37.944         -18.981       0.0235442        -1517.02
            9600              -8               4           47.93        -23.9763       0.0232993        -2395.32
            9700              -8               4         64.5733        -32.3017       0.0230595        -4302.77
            9800              -8               4           97.86        -48.9525       0.0228245        -9781.15
            9900              -8               4          197.72         -98.905       0.0225943        -39524.3
           10000              -8               4            -inf             inf       0.0223686            -nan
           10100              -8               4         -201.72         100.905       0.0221475        -40323.7
           10200              -8               4         -101.86         50.9525       0.0219306        -10180.9
           10300              -8               4        -68.5733         34.3017        0.021718        -4569.24
           10400              -8               4          -51.93         25.9763       0.0215095        -2595.18
           10500              -8               4         -41.944          20.981       0.0213049         -1676.9
           10600              -8               4        -35.2867         17.6508       0.0211042        -1175.62
           10700              -8               4        -30.5286         15.2714       0.0223985        -871.795
           10800              -8               4        -26.9625         13.4875       0.0221914        -673.713
           10900              -8               4        -24.1867         12.0994       0.0234518        -537.201
           11000              -8               4         -21.968         10.9895       0.0232389        -439.129
           11100              -8               4        -20.1527         10.0814       0.0230298         -366.22
           11200              -8               4          -18.64         9.32458       0.0228245        -310.502
           11300              -8               4        -17.3585         8.68385       0.0240346        -266.911
